Image_path,Insurance_company,Cost_of_vehicle,Min_coverage,Expiry_date,Max_coverage,Condition,Amount
0077.jpg,B,50400.0,1260.0,2027-05-09,12678.0,1,4507.0
0078.jpg,AC,42100.0,1052.5,2028-01-20,10603.0,1,2313.0
0079.jpg,B,25900.0,647.5,2024-04-05,6553.0,1,227.0
0080.jpg,BC,38300.0,957.5,2023-01-14,33358.68,0,0.0
0081.jpg,RE,42000.0,1050.0,2024-05-25,10578.0,1,733.0
0082.jpg,AC,30800.0,770.0,2025-12-28,7778.0,1,440.0
0083.jpg,RE,25700.0,642.5,2027-05-03,6503.0,1,3892.0
0084.jpg,BQ,44000.0,1100.0,2028-03-23,11078.0,1,7896.0
0085.jpg,RE,24300.0,607.5,2026-09-13,6153.0,1,8488.0
0086.jpg,A,48800.0,1220.0,2022-08-21,12278.0,1,7298.0
0087.jpg,RE,29400.0,735.0,2026-07-08,7428.0,1,1573.0
0088.jpg,RE,30300.0,757.5,2027-04-25,7653.0,1,4465.0
0089.jpg,AC,35500.0,887.5,2023-01-19,8953.0,1,3277.0
0090.jpg,RE,49300.0,1232.5,2024-09-16,12403.0,1,716.0
0091.jpg,RE,36400.0,910.0,2027-03-22,9178.0,1,2587.0
0092.jpg,AA,50500.0,1262.5,2023-01-17,12703.0,1,621.0
0093.jpg,BB,32500.0,812.5,2024-06-11,8203.0,1,459.0
0094.jpg,B,40200.0,1005.0,2028-05-23,10128.0,1,6385.0
0095.jpg,AA,24900.0,622.5,2027-12-30,6303.0,1,7381.0
0096.jpg,B,32500.0,812.5,2025-02-07,8203.0,1,103.0
0097.jpg,O,51300.0,1282.5,2022-10-17,12903.0,1,3434.0
0098.jpg,B,51800.0,1295.0,2023-05-12,13028.0,1,5803.0
0099.jpg,BQ,,,2025-04-08,,1,3769.0
0100.jpg,RE,45900.0,1147.5,2025-04-22,11553.0,1,3117.0
0101.jpg,O,30200.0,755.0,2023-04-05,7628.0,1,4138.0
0102.jpg,AC,53000.0,1325.0,2027-06-23,13328.0,1,5903.0
0103.jpg,A,42000.0,1050.0,2025-02-11,10578.0,1,6864.0
0104.jpg,AA,37400.0,935.0,2024-05-27,9428.0,1,4786.0
0105.jpg,B,29800.0,745.0,2023-09-17,7528.0,1,5784.0
0106.jpg,B,,,2023-03-19,,1,3212.0
0107.jpg,BC,45700.0,1142.5,2023-11-30,11503.0,1,
0108.jpg,BC,53500.0,1337.5,2024-08-26,13453.0,1,7109.0
0109.jpg,DA,,,2028-12-03,,1,4138.0
0110.jpg,DA,30300.0,757.5,2026-09-21,7653.0,1,6091.0
0111.jpg,B,25700.0,642.5,2023-09-06,22396.68,0,0.0
0112.jpg,O,47300.0,1182.5,2026-10-03,11903.0,1,8926.0
0113.jpg,AC,50700.0,1267.5,2021-11-05,12753.0,1,4349.0
0114.jpg,C,36300.0,907.5,2026-06-01,9153.0,1,5374.0
0115.jpg,A,38900.0,972.5,2022-11-08,9803.0,1,3476.0
0116.jpg,BB,25000.0,625.0,2025-12-22,6328.0,1,2550.0
0117.jpg,AC,27700.0,692.5,2025-01-11,7003.0,1,406.0
0118.jpg,RE,23400.0,585.0,2023-07-30,5928.0,1,4527.0
0119.jpg,O,30800.0,770.0,2023-07-22,7778.0,1,3130.0
0120.jpg,RE,41600.0,1040.0,2024-11-06,10478.0,1,948.0
0121.jpg,O,36100.0,902.5,2024-01-22,9103.0,1,3427.0
0122.jpg,AC,53000.0,1325.0,2022-01-02,13328.0,1,4273.0
0123.jpg,AA,35500.0,887.5,2023-05-16,8953.0,1,5514.0
0124.jpg,BQ,45900.0,1147.5,2024-01-24,11553.0,1,584.0
0125.jpg,DA,28300.0,707.5,2024-01-17,7153.0,1,4543.0
0126.jpg,BB,34400.0,860.0,2027-08-02,8678.0,1,3815.0
0127.jpg,O,37600.0,940.0,2022-11-01,9478.0,1,5582.0
0128.jpg,C,49300.0,1232.5,2022-10-17,12403.0,1,4004.0
0129.jpg,AA,33500.0,837.5,2023-08-23,8453.0,1,3804.0
0130.jpg,O,48900.0,1222.5,2022-12-30,12303.0,1,3490.0
0131.jpg,DA,29500.0,737.5,2027-04-20,7453.0,1,6261.0
0132.jpg,BC,29200.0,730.0,2026-02-11,7378.0,1,5036.0
0133.jpg,AC,41200.0,1030.0,2026-03-19,10378.0,1,6462.0
0134.jpg,B,48700.0,1217.5,2028-12-19,12253.0,1,4508.0
0135.jpg,A,29600.0,740.0,2026-12-29,7478.0,1,7970.0
0136.jpg,BB,44600.0,1115.0,2022-11-24,11228.0,1,7569.0
0137.jpg,B,38500.0,962.5,2024-09-23,9703.0,1,3527.0
0138.jpg,BB,24100.0,602.5,2025-11-13,21004.68,0,0.0
0139.jpg,B,39300.0,982.5,2024-10-05,9903.0,1,5409.0
0140.jpg,BC,46500.0,1162.5,2026-12-20,11703.0,1,5555.0
0141.jpg,DA,40600.0,1015.0,2025-05-12,10228.0,1,662.0
0142.jpg,O,48300.0,1207.5,2027-09-11,12153.0,1,4841.0
0143.jpg,DA,38700.0,967.5,2023-05-09,9753.0,1,1726.0
0144.jpg,BQ,35800.0,895.0,2026-06-26,9028.0,1,2899.0
0145.jpg,AC,23500.0,587.5,2022-05-08,5953.0,1,5440.0
0146.jpg,DA,45800.0,1145.0,2028-08-20,11528.0,1,4789.0
0147.jpg,C,28900.0,722.5,2024-01-22,7303.0,1,1573.0
0148.jpg,BQ,32800.0,820.0,2026-09-28,8278.0,1,
0149.jpg,AC,31700.0,792.5,2028-01-10,27616.68,0,0.0
0150.jpg,RE,25100.0,627.5,2026-09-21,6353.0,1,8443.0
0151.jpg,A,47100.0,1177.5,2022-03-13,11853.0,1,2841.0
0152.jpg,DA,29500.0,737.5,2027-01-17,7453.0,1,5408.0
0153.jpg,BC,24100.0,602.5,2027-10-08,6103.0,1,8601.0
0154.jpg,C,27300.0,682.5,2026-12-15,6903.0,1,6471.0
0155.jpg,AC,52700.0,1317.5,2026-12-15,13253.0,1,3521.0
0156.jpg,A,45000.0,1125.0,2028-05-25,11328.0,1,544.0
0157.jpg,O,53000.0,1325.0,2027-05-18,13328.0,1,5316.0
0158.jpg,AC,33500.0,837.5,2023-07-20,8453.0,1,563.0
0159.jpg,AC,,,2027-09-27,,1,603.0
0160.jpg,A,30400.0,760.0,2021-12-12,7678.0,1,3592.0
0161.jpg,BB,51700.0,1292.5,2022-01-13,13003.0,1,634.0
0162.jpg,BC,40800.0,1020.0,2022-04-03,10278.0,1,7009.0
0163.jpg,BQ,24400.0,610.0,2027-10-14,6178.0,1,6573.0
0164.jpg,BC,45000.0,1125.0,2026-01-20,11328.0,1,787.0
0165.jpg,A,38600.0,965.0,2026-09-14,9728.0,1,6628.0
0166.jpg,A,43600.0,1090.0,2024-10-14,10978.0,1,5262.0
0167.jpg,DA,48400.0,1210.0,2027-12-08,12178.0,1,2270.0
0168.jpg,O,28100.0,702.5,2025-06-22,7103.0,1,3957.0
0169.jpg,AA,,,2026-01-11,,1,5203.0
0170.jpg,AC,26600.0,665.0,2023-12-26,6728.0,1,6520.0
0171.jpg,DA,45500.0,1137.5,2024-07-08,11453.0,1,100.0
0172.jpg,AA,41400.0,1035.0,2026-11-08,10428.0,1,7091.0
0173.jpg,BC,33500.0,837.5,2027-12-20,29182.68,0,0.0
0174.jpg,BC,23300.0,582.5,2023-12-09,20308.68,0,0.0
0175.jpg,BB,31800.0,795.0,2025-01-31,8028.0,1,5552.0
0176.jpg,O,27400.0,685.0,2024-02-29,6928.0,1,10427.0
0177.jpg,B,26500.0,662.5,2028-02-22,6703.0,1,2954.0
0178.jpg,B,40500.0,1012.5,2026-03-10,10203.0,1,6197.0
0179.jpg,O,30000.0,750.0,2026-01-29,7578.0,1,4121.0
0180.jpg,C,37300.0,932.5,2027-01-05,9403.0,1,5767.0
0181.jpg,DA,40500.0,1012.5,2027-09-13,10203.0,1,9855.0
0182.jpg,B,39400.0,985.0,2026-04-27,9928.0,1,4546.0
0183.jpg,O,45400.0,1135.0,2027-05-05,11428.0,1,6805.0
0184.jpg,AA,51600.0,1290.0,2022-09-12,12978.0,1,499.0
0185.jpg,BC,26600.0,665.0,2025-11-24,6728.0,1,7224.0
0186.jpg,BQ,,,2022-10-24,,1,8206.0
0187.jpg,C,39700.0,992.5,2027-07-03,10003.0,1,9797.0
0188.jpg,BC,51000.0,1275.0,2027-06-25,12828.0,1,3090.0
0189.jpg,A,48700.0,1217.5,2028-04-26,12253.0,1,3192.0
0190.jpg,AC,30500.0,762.5,2022-10-06,7703.0,1,415.0
0191.jpg,BC,34800.0,870.0,2028-12-11,8778.0,1,1018.0
0192.jpg,AC,30100.0,752.5,2028-04-25,7603.0,1,6385.0
0193.jpg,C,26600.0,665.0,2021-12-03,6728.0,1,925.0
0194.jpg,A,47400.0,1185.0,2023-01-25,11928.0,1,2931.0
0195.jpg,DA,24400.0,610.0,2023-11-18,6178.0,1,10539.0
0196.jpg,BC,27900.0,697.5,2025-04-19,7053.0,1,3829.0
0197.jpg,BQ,45900.0,1147.5,2025-05-16,11553.0,1,4336.0
0198.jpg,DA,30900.0,772.5,2024-07-02,7803.0,1,1467.0
0199.jpg,AC,49700.0,1242.5,2025-12-17,12503.0,1,3773.0
0200.jpg,C,30000.0,750.0,2025-03-16,7578.0,1,4483.0
0201.jpg,BB,50200.0,1255.0,2023-07-21,12628.0,1,559.0
0202.jpg,DA,33100.0,827.5,2023-04-05,8353.0,1,1074.0
0203.jpg,B,29300.0,732.5,2023-08-09,7403.0,1,8740.0
0204.jpg,AC,45300.0,1132.5,2024-05-13,11403.0,1,3922.0
0205.jpg,AA,38500.0,962.5,2021-12-19,33532.68,0,0.0
0206.jpg,DA,27700.0,692.5,2028-12-08,7003.0,1,2860.0
0207.jpg,DA,25000.0,625.0,2025-04-19,6328.0,1,500.0
0208.jpg,RE,44700.0,1117.5,2027-09-29,11253.0,1,4629.0
0209.jpg,BC,46900.0,1172.5,2023-06-05,11803.0,1,7742.0
0210.jpg,AA,36500.0,912.5,2027-09-12,9203.0,1,3686.0
0211.jpg,A,40700.0,1017.5,2022-09-29,10253.0,1,9724.0
0212.jpg,O,47100.0,1177.5,2023-03-01,11853.0,1,3853.0
0213.jpg,AC,32700.0,817.5,2023-11-03,28486.68,0,0.0
0214.jpg,DA,41400.0,1035.0,2028-05-03,10428.0,1,257.0
0215.jpg,DA,29500.0,737.5,2028-12-17,7453.0,1,1316.0
0216.jpg,O,40800.0,1020.0,2025-06-04,10278.0,1,6583.0
0217.jpg,O,30100.0,752.5,2022-04-13,26224.68,0,0.0
0218.jpg,A,27900.0,697.5,2026-08-04,24310.68,0,0.0
0219.jpg,RE,49700.0,1242.5,2023-04-02,12503.0,1,6652.0
0220.jpg,BC,45600.0,1140.0,2027-05-19,11478.0,1,7397.0
0221.jpg,BQ,33300.0,832.5,2024-08-15,29008.68,0,0.0
0222.jpg,BB,38400.0,960.0,2025-06-02,33445.68,0,0.0
0223.jpg,BQ,45800.0,1145.0,2026-06-24,11528.0,1,5325.0
0224.jpg,B,37400.0,935.0,2026-11-06,9428.0,1,4609.0
0225.jpg,BB,39400.0,985.0,2028-07-04,34315.68,0,0.0
0226.jpg,A,35600.0,890.0,2028-05-10,8978.0,1,2717.0
0227.jpg,A,50000.0,1250.0,2026-12-16,12578.0,1,615.0
0228.jpg,DA,35900.0,897.5,2024-09-16,31270.68,0,0.0
0229.jpg,BQ,27400.0,685.0,2028-05-04,6928.0,1,2865.0
0230.jpg,BB,43400.0,1085.0,2028-09-06,10928.0,1,4852.0
0231.jpg,AA,36200.0,905.0,2023-02-10,9128.0,1,8111.0
0232.jpg,B,46800.0,1170.0,2028-10-05,11778.0,1,5153.0
0233.jpg,BQ,43000.0,1075.0,2025-07-03,37447.68,0,0.0
0234.jpg,DA,32400.0,810.0,2023-04-03,8178.0,1,4609.0
0235.jpg,A,35600.0,890.0,2026-10-27,8978.0,1,3441.0
0236.jpg,AA,39800.0,995.0,2027-03-11,10028.0,1,4349.0
0237.jpg,A,25900.0,647.5,2024-08-09,6553.0,1,1011.0
0238.jpg,AC,25000.0,625.0,2026-06-23,6328.0,1,868.0
0239.jpg,RE,43600.0,1090.0,2025-04-18,10978.0,1,2863.0
0240.jpg,O,42000.0,1050.0,2025-09-22,10578.0,1,5087.0
0241.jpg,C,31500.0,787.5,2024-11-25,7953.0,1,568.0
0242.jpg,BB,52200.0,1305.0,2027-03-17,13128.0,1,890.0
0243.jpg,B,43600.0,1090.0,2023-12-17,10978.0,1,6445.0
0244.jpg,C,51100.0,1277.5,2022-01-30,44494.68,0,0.0
0245.jpg,C,26500.0,662.5,2022-01-20,6703.0,1,665.0
0246.jpg,BC,45500.0,1137.5,2027-03-01,11453.0,1,451.0
0247.jpg,C,50200.0,1255.0,2022-04-24,12628.0,1,5959.0
0248.jpg,BB,48500.0,1212.5,2027-07-31,12203.0,1,3157.0
0249.jpg,C,,,2024-07-08,,1,3501.0
0250.jpg,RE,47100.0,1177.5,2024-01-23,11853.0,1,2851.0
0251.jpg,BB,24700.0,617.5,2022-01-22,6253.0,1,5090.0
0252.jpg,BQ,48100.0,1202.5,2023-03-23,12103.0,1,8968.0
0253.jpg,BQ,26500.0,662.5,2025-03-14,6703.0,1,807.0
0254.jpg,B,36300.0,907.5,2024-03-28,9153.0,1,5526.0
0255.jpg,AC,52900.0,1322.5,2025-07-29,13303.0,1,4410.0
0256.jpg,C,36300.0,907.5,2022-01-31,9153.0,1,6959.0
0257.jpg,RE,36500.0,912.5,2023-02-07,9203.0,1,536.0
0258.jpg,BQ,30000.0,750.0,2028-12-25,7578.0,1,6936.0
0259.jpg,AA,40400.0,1010.0,2028-03-28,35185.68,0,0.0
0260.jpg,B,23100.0,577.5,2022-09-20,5853.0,1,6707.0
0261.jpg,BB,30800.0,770.0,2022-06-12,26833.68,0,0.0
0262.jpg,A,38600.0,965.0,2025-03-08,9728.0,1,653.0
0263.jpg,B,38500.0,962.5,2023-10-04,9703.0,1,5551.0
0264.jpg,BC,27200.0,680.0,2027-01-21,6878.0,1,4184.0
0265.jpg,C,38100.0,952.5,2024-03-07,33184.68,0,0.0
0266.jpg,O,23500.0,587.5,2024-06-18,5953.0,1,819.0
0267.jpg,DA,51200.0,1280.0,2027-12-17,12878.0,1,2473.0
0268.jpg,BB,49900.0,1247.5,2024-11-26,12553.0,1,5697.0
0269.jpg,AA,34200.0,855.0,2024-03-31,8628.0,1,550.0
0270.jpg,AA,45100.0,1127.5,2024-01-05,11353.0,1,7862.0
0271.jpg,DA,27900.0,697.5,2024-02-17,7053.0,1,3899.0
0272.jpg,DA,36200.0,905.0,2028-12-03,9128.0,1,3700.0
0273.jpg,BB,36000.0,900.0,2022-06-06,9078.0,1,5836.0
0274.jpg,B,37300.0,932.5,2027-12-13,9403.0,1,1516.0
0275.jpg,BC,23600.0,590.0,2022-03-22,5978.0,1,419.0
0276.jpg,RE,47600.0,1190.0,2026-04-20,11978.0,1,5312.0
0277.jpg,AC,44100.0,1102.5,2022-01-22,11103.0,1,678.0
0278.jpg,O,31100.0,777.5,2026-12-16,7853.0,1,10231.0
0279.jpg,A,46000.0,1150.0,2023-11-16,11578.0,1,8713.0
0280.jpg,B,28300.0,707.5,2025-11-24,7153.0,1,2559.0
0281.jpg,B,32500.0,812.5,2028-07-07,8203.0,1,6141.0
0282.jpg,BB,28300.0,707.5,2027-03-10,7153.0,1,297.0
0283.jpg,BC,52800.0,1320.0,2022-07-01,13278.0,1,8746.0
0284.jpg,C,24800.0,620.0,2024-04-17,6278.0,1,6143.0
0285.jpg,B,29600.0,740.0,2027-02-03,7478.0,1,5194.0
0286.jpg,BC,33700.0,842.5,2027-12-06,8503.0,1,444.0
0287.jpg,AC,51600.0,1290.0,2026-12-09,44929.68,0,0.0
0288.jpg,O,37100.0,927.5,2027-02-19,9353.0,1,3517.0
0289.jpg,A,53500.0,1337.5,2022-07-07,13453.0,1,6003.0
0290.jpg,B,41500.0,1037.5,2025-04-05,10453.0,1,6085.0
0291.jpg,DA,50600.0,1265.0,2023-04-10,12728.0,1,8582.0
0292.jpg,BB,25800.0,645.0,2027-01-15,6528.0,1,4359.0
0293.jpg,BB,37500.0,937.5,2022-06-07,9453.0,1,7792.0
0294.jpg,A,31000.0,775.0,2024-06-14,7828.0,1,5158.0
0295.jpg,BQ,24500.0,612.5,2028-08-07,6203.0,1,5599.0
0296.jpg,RE,30800.0,770.0,2023-03-11,7778.0,1,74.0
0297.jpg,AA,24200.0,605.0,2023-12-18,6128.0,1,4561.0
0298.jpg,DA,36200.0,905.0,2024-07-04,9128.0,1,3663.0
0299.jpg,O,53400.0,1335.0,2021-11-23,13428.0,1,2318.0
0300.jpg,C,41000.0,1025.0,2021-12-22,10328.0,1,9514.0
0301.jpg,C,45900.0,1147.5,2026-01-13,11553.0,1,3389.0
0302.jpg,AC,43900.0,1097.5,2025-12-15,11053.0,1,5936.0
0303.jpg,DA,29300.0,732.5,2028-04-04,7403.0,1,5190.0
0304.jpg,O,30400.0,760.0,2026-05-11,7678.0,1,10067.0
0305.jpg,AA,23400.0,585.0,2023-08-07,5928.0,1,4776.0
0306.jpg,O,31000.0,775.0,2027-10-10,7828.0,1,6346.0
0307.jpg,RE,43600.0,1090.0,2022-06-16,10978.0,1,2988.0
0308.jpg,A,32400.0,810.0,2024-06-12,28225.68,0,0.0
0309.jpg,AA,50500.0,1262.5,2028-03-29,12703.0,1,1734.0
0310.jpg,A,26000.0,650.0,2028-11-17,6578.0,1,6598.0
0311.jpg,DA,37800.0,945.0,2022-07-23,9528.0,1,4747.0
0312.jpg,O,32500.0,812.5,2023-07-18,8203.0,1,6142.0
0313.jpg,BQ,41600.0,1040.0,2028-09-05,10478.0,1,3597.0
0314.jpg,RE,31500.0,787.5,2026-12-25,7953.0,1,7009.0
0315.jpg,A,27200.0,680.0,2027-04-12,6878.0,1,4740.0
0316.jpg,AA,31100.0,777.5,2025-05-01,7853.0,1,6510.0
0317.jpg,RE,23400.0,585.0,2028-05-10,5928.0,1,631.0
0318.jpg,AC,44600.0,1115.0,2025-11-12,11228.0,1,5016.0
0319.jpg,BQ,50200.0,1255.0,2022-08-11,43711.68,0,0.0
0320.jpg,BC,47000.0,1175.0,2027-08-24,11828.0,1,5459.0
0321.jpg,AC,50200.0,1255.0,2022-06-27,12628.0,1,4391.0
0322.jpg,RE,32700.0,817.5,2023-12-25,8253.0,1,625.0
0323.jpg,BB,45100.0,1127.5,2026-02-07,11353.0,1,5644.0
0324.jpg,BB,43300.0,1082.5,2026-05-18,10903.0,1,806.0
0325.jpg,AA,48600.0,1215.0,2021-11-08,42319.68,0,0.0
0326.jpg,BQ,27200.0,680.0,2028-05-24,6878.0,1,4450.0
0327.jpg,AA,,,2026-08-18,,1,3765.0
0328.jpg,O,36700.0,917.5,2023-07-06,9253.0,1,840.0
0329.jpg,BQ,47000.0,1175.0,2026-04-02,40927.68,0,0.0
0330.jpg,AA,36200.0,905.0,2024-03-24,9128.0,1,5660.0
0331.jpg,DA,27700.0,692.5,2021-12-26,7003.0,1,3666.0
0332.jpg,B,45400.0,1135.0,2026-04-28,39535.68,0,0.0
0333.jpg,B,37500.0,937.5,2027-06-16,9453.0,1,9212.0
0334.jpg,DA,36900.0,922.5,2021-11-13,9303.0,1,5996.0
0335.jpg,AA,24000.0,600.0,2024-12-08,6078.0,1,5612.0
0336.jpg,RE,38100.0,952.5,2027-06-18,9603.0,1,2456.0
0337.jpg,AC,32400.0,810.0,2026-06-07,8178.0,1,8666.0
0338.jpg,DA,28700.0,717.5,2024-09-13,25006.68,0,0.0
0339.jpg,B,42900.0,1072.5,2025-06-11,10803.0,1,6224.0
0340.jpg,BQ,36300.0,907.5,2027-05-19,9153.0,1,6298.0
0341.jpg,A,23300.0,582.5,2025-01-30,5903.0,1,6631.0
0342.jpg,DA,36200.0,905.0,2026-01-18,9128.0,1,7411.0
0343.jpg,DA,28200.0,705.0,2024-07-07,7128.0,1,3069.0
0344.jpg,RE,23400.0,585.0,2023-03-16,5928.0,1,5585.0
0345.jpg,DA,,,2025-11-08,,1,3922.0
0346.jpg,B,34900.0,872.5,2026-10-23,8803.0,1,4182.0
0347.jpg,AC,36900.0,922.5,2023-04-18,9303.0,1,8408.0
0348.jpg,BB,46500.0,1162.5,2028-11-09,11703.0,1,723.0
0349.jpg,B,43000.0,1075.0,2026-01-06,10828.0,1,9702.0
0350.jpg,BQ,43200.0,1080.0,2028-02-11,10878.0,1,400.0
0351.jpg,BB,35200.0,880.0,2026-04-28,8878.0,1,3245.0
0352.jpg,RE,40900.0,1022.5,2028-06-07,35620.68,0,0.0
0353.jpg,DA,22900.0,572.5,2028-09-24,5803.0,1,5807.0
0354.jpg,BQ,41500.0,1037.5,2028-08-08,10453.0,1,5469.0
0355.jpg,BQ,43000.0,1075.0,2026-05-30,10828.0,1,4397.0
0356.jpg,BB,30800.0,770.0,2027-06-11,7778.0,1,634.0
0357.jpg,BB,23300.0,582.5,2024-12-29,5903.0,1,4960.0
0358.jpg,BB,31000.0,775.0,2025-03-01,7828.0,1,9560.0
0359.jpg,AA,30200.0,755.0,2027-10-08,26311.68,0,0.0
0360.jpg,C,50400.0,1260.0,2022-09-15,12678.0,1,3337.0
0361.jpg,C,24000.0,600.0,2028-11-07,6078.0,1,9881.0
0362.jpg,BC,52000.0,1300.0,2028-01-30,13078.0,1,2510.0
0363.jpg,RE,38900.0,972.5,2027-07-31,9803.0,1,7185.0
0364.jpg,DA,49700.0,1242.5,2027-10-26,12503.0,1,6488.0
0365.jpg,RE,43600.0,1090.0,2026-05-07,37969.68,0,0.0
0366.jpg,A,41300.0,1032.5,2024-03-05,10403.0,1,7497.0
0367.jpg,RE,53500.0,1337.5,2026-01-19,13453.0,1,1144.0
0368.jpg,C,40800.0,1020.0,2027-06-22,10278.0,1,8549.0
0369.jpg,AC,24400.0,610.0,2026-07-05,6178.0,1,4145.0
0370.jpg,O,38000.0,950.0,2026-07-14,9578.0,1,4248.0
0371.jpg,BQ,43800.0,1095.0,2027-11-21,11028.0,1,2846.0
