index,Image_path,Insurance_company,Cost_of_vehicle,Min_coverage,Expiry_date,Max_coverage,Condition,Amount
269,0269.jpg,AA,34200.0,855.0,2024-03-31,8628.0,1,550.0
270,0270.jpg,AA,45100.0,1127.5,2024-01-05,11353.0,1,7862.0
271,0271.jpg,DA,27900.0,697.5,2024-02-17,7053.0,1,3899.0
272,0272.jpg,DA,36200.0,905.0,2028-12-03,9128.0,1,3700.0
273,0273.jpg,BB,36000.0,900.0,2022-06-06,9078.0,1,5836.0
274,0274.jpg,B,37300.0,932.5,2027-12-13,9403.0,1,1516.0
275,0275.jpg,BC,23600.0,590.0,2022-03-22,5978.0,1,419.0
276,0276.jpg,RE,47600.0,1190.0,2026-04-20,11978.0,1,5312.0
277,0277.jpg,AC,44100.0,1102.5,2022-01-22,11103.0,1,678.0
278,0278.jpg,O,31100.0,777.5,2026-12-16,7853.0,1,10231.0
279,0279.jpg,A,46000.0,1150.0,2023-11-16,11578.0,1,8713.0
280,0280.jpg,B,28300.0,707.5,2025-11-24,7153.0,1,2559.0
281,0281.jpg,B,32500.0,812.5,2028-07-07,8203.0,1,6141.0
282,0282.jpg,BB,28300.0,707.5,2027-03-10,7153.0,1,297.0
283,0283.jpg,BC,52800.0,1320.0,2022-07-01,13278.0,1,8746.0
284,0284.jpg,C,24800.0,620.0,2024-04-17,6278.0,1,6143.0
285,0285.jpg,B,29600.0,740.0,2027-02-03,7478.0,1,5194.0
286,0286.jpg,BC,33700.0,842.5,2027-12-06,8503.0,1,444.0
288,0288.jpg,O,37100.0,927.5,2027-02-19,9353.0,1,3517.0
289,0289.jpg,A,53500.0,1337.5,2022-07-07,13453.0,1,6003.0
290,0290.jpg,B,41500.0,1037.5,2025-04-05,10453.0,1,6085.0
291,0291.jpg,DA,50600.0,1265.0,2023-04-10,12728.0,1,8582.0
292,0292.jpg,BB,25800.0,645.0,2027-01-15,6528.0,1,4359.0
293,0293.jpg,BB,37500.0,937.5,2022-06-07,9453.0,1,7792.0
294,0294.jpg,A,31000.0,775.0,2024-06-14,7828.0,1,5158.0
295,0295.jpg,BQ,24500.0,612.5,2028-08-07,6203.0,1,5599.0
296,0296.jpg,RE,30800.0,770.0,2023-03-11,7778.0,1,74.0
297,0297.jpg,AA,24200.0,605.0,2023-12-18,6128.0,1,4561.0
298,0298.jpg,DA,36200.0,905.0,2024-07-04,9128.0,1,3663.0
299,0299.jpg,O,53400.0,1335.0,2021-11-23,13428.0,1,2318.0
300,0300.jpg,C,41000.0,1025.0,2021-12-22,10328.0,1,9514.0
301,0301.jpg,C,45900.0,1147.5,2026-01-13,11553.0,1,3389.0
302,0302.jpg,AC,43900.0,1097.5,2025-12-15,11053.0,1,5936.0
303,0303.jpg,DA,29300.0,732.5,2028-04-04,7403.0,1,5190.0
304,0304.jpg,O,30400.0,760.0,2026-05-11,7678.0,1,10067.0
305,0305.jpg,AA,23400.0,585.0,2023-08-07,5928.0,1,4776.0
306,0306.jpg,O,31000.0,775.0,2027-10-10,7828.0,1,6346.0
307,0307.jpg,RE,43600.0,1090.0,2022-06-16,10978.0,1,2988.0
309,0309.jpg,AA,50500.0,1262.5,2028-03-29,12703.0,1,1734.0
310,0310.jpg,A,26000.0,650.0,2028-11-17,6578.0,1,6598.0
311,0311.jpg,DA,37800.0,945.0,2022-07-23,9528.0,1,4747.0
312,0312.jpg,O,32500.0,812.5,2023-07-18,8203.0,1,6142.0
313,0313.jpg,BQ,41600.0,1040.0,2028-09-05,10478.0,1,3597.0
314,0314.jpg,RE,31500.0,787.5,2026-12-25,7953.0,1,7009.0
315,0315.jpg,A,27200.0,680.0,2027-04-12,6878.0,1,4740.0
316,0316.jpg,AA,31100.0,777.5,2025-05-01,7853.0,1,6510.0
317,0317.jpg,RE,23400.0,585.0,2028-05-10,5928.0,1,631.0
318,0318.jpg,AC,44600.0,1115.0,2025-11-12,11228.0,1,5016.0
320,0320.jpg,BC,47000.0,1175.0,2027-08-24,11828.0,1,5459.0
321,0321.jpg,AC,50200.0,1255.0,2022-06-27,12628.0,1,4391.0
322,0322.jpg,RE,32700.0,817.5,2023-12-25,8253.0,1,625.0
323,0323.jpg,BB,45100.0,1127.5,2026-02-07,11353.0,1,5644.0
324,0324.jpg,BB,43300.0,1082.5,2026-05-18,10903.0,1,806.0
326,0326.jpg,BQ,27200.0,680.0,2028-05-24,6878.0,1,4450.0
327,0327.jpg,AA,,,2026-08-18,,1,3765.0
328,0328.jpg,O,36700.0,917.5,2023-07-06,9253.0,1,840.0
330,0330.jpg,AA,36200.0,905.0,2024-03-24,9128.0,1,5660.0
331,0331.jpg,DA,27700.0,692.5,2021-12-26,7003.0,1,3666.0
333,0333.jpg,B,37500.0,937.5,2027-06-16,9453.0,1,9212.0
334,0334.jpg,DA,36900.0,922.5,2021-11-13,9303.0,1,5996.0
335,0335.jpg,AA,24000.0,600.0,2024-12-08,6078.0,1,5612.0
336,0336.jpg,RE,38100.0,952.5,2027-06-18,9603.0,1,2456.0
337,0337.jpg,AC,32400.0,810.0,2026-06-07,8178.0,1,8666.0
339,0339.jpg,B,42900.0,1072.5,2025-06-11,10803.0,1,6224.0
340,0340.jpg,BQ,36300.0,907.5,2027-05-19,9153.0,1,6298.0
341,0341.jpg,A,23300.0,582.5,2025-01-30,5903.0,1,6631.0
342,0342.jpg,DA,36200.0,905.0,2026-01-18,9128.0,1,7411.0
343,0343.jpg,DA,28200.0,705.0,2024-07-07,7128.0,1,3069.0
344,0344.jpg,RE,23400.0,585.0,2023-03-16,5928.0,1,5585.0
345,0345.jpg,DA,,,2025-11-08,,1,3922.0
346,0346.jpg,B,34900.0,872.5,2026-10-23,8803.0,1,4182.0
347,0347.jpg,AC,36900.0,922.5,2023-04-18,9303.0,1,8408.0
348,0348.jpg,BB,46500.0,1162.5,2028-11-09,11703.0,1,723.0
349,0349.jpg,B,43000.0,1075.0,2026-01-06,10828.0,1,9702.0
350,0350.jpg,BQ,43200.0,1080.0,2028-02-11,10878.0,1,400.0
351,0351.jpg,BB,35200.0,880.0,2026-04-28,8878.0,1,3245.0
353,0353.jpg,DA,22900.0,572.5,2028-09-24,5803.0,1,5807.0
354,0354.jpg,BQ,41500.0,1037.5,2028-08-08,10453.0,1,5469.0
355,0355.jpg,BQ,43000.0,1075.0,2026-05-30,10828.0,1,4397.0
356,0356.jpg,BB,30800.0,770.0,2027-06-11,7778.0,1,634.0
357,0357.jpg,BB,23300.0,582.5,2024-12-29,5903.0,1,4960.0
358,0358.jpg,BB,31000.0,775.0,2025-03-01,7828.0,1,9560.0
360,0360.jpg,C,50400.0,1260.0,2022-09-15,12678.0,1,3337.0
361,0361.jpg,C,24000.0,600.0,2028-11-07,6078.0,1,9881.0
362,0362.jpg,BC,52000.0,1300.0,2028-01-30,13078.0,1,2510.0
363,0363.jpg,RE,38900.0,972.5,2027-07-31,9803.0,1,7185.0
364,0364.jpg,DA,49700.0,1242.5,2027-10-26,12503.0,1,6488.0
366,0366.jpg,A,41300.0,1032.5,2024-03-05,10403.0,1,7497.0
367,0367.jpg,RE,53500.0,1337.5,2026-01-19,13453.0,1,1144.0
368,0368.jpg,C,40800.0,1020.0,2027-06-22,10278.0,1,8549.0
369,0369.jpg,AC,24400.0,610.0,2026-07-05,6178.0,1,4145.0
370,0370.jpg,O,38000.0,950.0,2026-07-14,9578.0,1,4248.0
371,0371.jpg,BQ,43800.0,1095.0,2027-11-21,11028.0,1,2846.0
372,0372.jpg,AA,38200.0,955.0,2023-05-17,9628.0,1,320.0
374,0374.jpg,A,37500.0,937.5,2023-11-21,9453.0,1,4497.0
375,0375.jpg,O,25900.0,647.5,2026-06-17,6553.0,1,5534.0
376,0376.jpg,B,37100.0,927.5,2028-12-20,9353.0,1,3551.0
377,0377.jpg,C,43400.0,1085.0,2023-08-24,10928.0,1,8594.0
378,0378.jpg,BC,25400.0,635.0,2027-07-31,6428.0,1,5716.0
379,0379.jpg,DA,,,2025-03-01,,1,4712.0
380,0380.jpg,BC,27400.0,685.0,2026-03-24,6928.0,1,8846.0
381,0381.jpg,AC,29300.0,732.5,2026-09-21,7403.0,1,6767.0
382,0382.jpg,BC,48900.0,1222.5,2022-03-18,12303.0,1,5769.0
384,0384.jpg,AC,39200.0,980.0,2025-07-18,9878.0,1,9765.0
385,0385.jpg,AA,,,2024-07-28,,1,4172.0
386,0386.jpg,C,30400.0,760.0,2028-02-08,7678.0,1,4851.0
387,0387.jpg,AA,42700.0,1067.5,2026-02-28,10753.0,1,3463.0
388,0388.jpg,DA,30600.0,765.0,2023-03-19,7728.0,1,2436.0
389,0389.jpg,BC,25900.0,647.5,2027-08-09,6553.0,1,3665.0
390,0390.jpg,B,29900.0,747.5,2028-07-15,7553.0,1,4423.0
391,0391.jpg,DA,37400.0,935.0,2022-11-05,9428.0,1,6467.0
392,0392.jpg,BB,49500.0,1237.5,2024-02-11,12453.0,1,5326.0
